carteira,metodo,tipo,estrategia,cenario_alternativos,detalhe_alternativos,grupo_familia,retorno_total,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,peso_max,top3_peso,hhi,n_efetivo_ativos,n_clusters_finais,rank_sharpe,rank_cagr,rank_mdd,rank_calmar,rank_vol,score_final
etfs_latam,markowitz_restrito,max_sharpe,etfs_latam__max_sharpe,sem_alternativos,nenhum,regional,3.721646892241285,0.14912317280704546,0.18670189147877456,0.9270613290279923,1.4529763547874572,-0.25289233916005915,0.5896705819651709,0.6222222222222222,0.3333333333333333,1.0,0.3333333333333333,3.0,,75.0,44.0,57.0,59.0,89.0,324.0
etfs_asia,markowitz_restrito,max_sharpe,etfs_asia__max_sharpe,sem_alternativos,nenhum,regional,3.121192668677643,0.13521123150547587,0.17353655822104683,0.8923987214325875,1.4241226171644925,-0.3707826181660434,0.3646644283765366,0.6444444444444445,0.16666666666666669,0.5,0.1666666666666667,5.999999999999998,,79.0,71.0,93.0,87.0,72.0,402.0
etfs_europa,markowitz_restrito,max_sharpe,etfs_europa__max_sharpe,sem_alternativos,nenhum,regional,2.5154264427266675,0.11916354072761881,0.17433331812840042,0.8173666266971791,1.2816753288387708,-0.33705643001506136,0.3535418111510111,0.6074074074074074,0.3333333333333333,1.0,0.3333333333333333,3.0,,89.0,89.0,90.0,91.0,75.0,434.0
etfs_oceania,markowitz_restrito,max_sharpe,etfs_oceania__max_sharpe,sem_alternativos,nenhum,regional,2.082984363678859,0.10608493341222269,0.1844917873849193,0.7223268701389715,1.3033494627051305,-0.3108083787756095,0.34131941304198726,0.5555555555555556,0.5,1.0,0.5,2.0,,94.0,100.0,80.0,96.0,82.0,452.0
etfs_brasil,markowitz_restrito,max_sharpe,etfs_brasil__max_sharpe,sem_alternativos,nenhum,amplo_base,2.1760243603298433,0.10903389652758522,0.22882591122595267,0.5994865206226014,0.7941913119378834,-0.39950601292064114,0.2729217909149317,0.5703703703703704,0.5,1.0,0.5,2.0,,100.0,96.0,100.0,100.0,100.0,496.0
etfs_com_tudo,markowitz_restrito,min_vol,etfs_com_tudo__min_vol,com_alternativos,ouro+btc+petroleo,alternativos,4.140972604967342,0.15791238078785352,0.12062574848884905,1.372641246006629,2.157113468857338,-0.17787690150370206,0.8877621515380791,0.674074074074074,0.09999999999999998,0.29999999999999993,0.06386065234670041,15.659094657708561,,19.0,37.0,12.0,19.0,14.0,101.0
etfs_com_ouro_btc,markowitz_restrito,min_vol,etfs_com_ouro_btc__min_vol,com_alternativos,ouro+btc,alternativos,4.137030651645679,0.1578328436475378,0.12370670552203994,1.3426605321586647,2.428549738209003,-0.21127466812493234,0.7470504866878174,0.674074074074074,0.09999999999999998,0.2999999999999999,0.06752865923359201,14.808527391915872,,21.0,38.0,28.0,40.0,16.0,143.0
etfs_com_ouro_petroleo,markowitz_restrito,min_vol,etfs_com_ouro_petroleo__min_vol,com_alternativos,ouro+petroleo,alternativos,3.4277784368461086,0.1425294210636685,0.11945045436217608,1.2711270175917593,1.9811634193565624,-0.16461181603868047,0.865851701861894,0.6296296296296297,0.1,0.30000000000000004,0.06427658895281341,15.557763974284912,,30.0,60.0,10.0,24.0,13.0,137.0
etfs_com_ouro,markowitz_restrito,min_vol,etfs_com_ouro__min_vol,com_alternativos,ouro,alternativos,3.447611190606419,0.14298677988620367,0.12243215774824096,1.2479329653705498,2.239436447052336,-0.19906741801984618,0.7182831892256145,0.6666666666666666,0.1,0.30000000000000004,0.06857252903218777,14.583099298125676,,33.0,59.0,25.0,45.0,15.0,177.0
etfs_com_btc_petroleo,markowitz_restrito,min_vol,etfs_com_btc_petroleo__min_vol,com_alternativos,btc+petroleo,alternativos,3.7153199961392804,0.14898519625498952,0.1295685498172158,1.2346903070027269,1.8671987827890815,-0.19516602155623852,0.7633767141790013,0.6666666666666666,0.09999999999999996,0.2999999999999999,0.06396797093306168,15.632823511729564,,36.0,46.0,21.0,39.0,21.0,163.0
