data,ticker_1,ticker_2,janela,correlacao
2022-09-30,^BVSP,BZ=F,12m,0.24182400002631776
2022-10-03,^BVSP,BZ=F,12m,0.24021496720150806
2022-10-04,^BVSP,BZ=F,12m,0.2392390555597465
2022-10-05,^BVSP,BZ=F,12m,0.24025653849842052
2022-10-06,^BVSP,BZ=F,12m,0.2502129735180744
2022-10-07,^BVSP,BZ=F,12m,0.24455312230304516
2022-10-10,^BVSP,BZ=F,12m,0.24400322280340883
2022-10-11,^BVSP,BZ=F,12m,0.249711329181346
2022-10-12,^BVSP,BZ=F,12m,0.2505308088676246
2022-10-13,^BVSP,BZ=F,12m,0.24770999181807185
2022-10-14,^BVSP,BZ=F,12m,0.2535848638297611
2022-10-17,^BVSP,BZ=F,12m,0.2542035362029828
2022-10-18,^BVSP,BZ=F,12m,0.25370467894812254
2022-10-19,^BVSP,BZ=F,12m,0.2552030424616582
2022-10-20,^BVSP,BZ=F,12m,0.25545342517363107
2022-10-21,^BVSP,BZ=F,12m,0.254690316984288
2022-10-24,^BVSP,BZ=F,12m,0.24904961044920304
2022-10-25,^BVSP,BZ=F,12m,0.24049344154231905
2022-10-26,^BVSP,BZ=F,12m,0.23513050104468633
2022-10-27,^BVSP,BZ=F,12m,0.2374914867884255
2022-10-28,^BVSP,BZ=F,12m,0.23975012914575455
2022-10-31,^BVSP,BZ=F,12m,0.23652821615710404
2022-11-01,^BVSP,BZ=F,12m,0.2315254646439703
2022-11-02,^BVSP,BZ=F,12m,0.23153540111602555
2022-11-03,^BVSP,BZ=F,12m,0.23308136313100672
2022-11-04,^BVSP,BZ=F,12m,0.2337065923681597
2022-11-07,^BVSP,BZ=F,12m,0.23655035772637228
2022-11-08,^BVSP,BZ=F,12m,0.2370139985073308
2022-11-09,^BVSP,BZ=F,12m,0.2446928732444245
2022-11-10,^BVSP,BZ=F,12m,0.2315601021354939
2022-11-11,^BVSP,BZ=F,12m,0.24157489155630624
2022-11-14,^BVSP,BZ=F,12m,0.23774547309116922
2022-11-15,^BVSP,BZ=F,12m,0.20574103350719963
2022-11-16,^BVSP,BZ=F,12m,0.20647253521875358
2022-11-17,^BVSP,BZ=F,12m,0.20444133329853723
2022-11-18,^BVSP,BZ=F,12m,0.20372945697337774
2022-11-21,^BVSP,BZ=F,12m,0.19725763152176004
2022-11-22,^BVSP,BZ=F,12m,0.19780933889676725
2022-11-23,^BVSP,BZ=F,12m,0.19176913956130748
2022-11-24,^BVSP,BZ=F,12m,0.18769140795947134
2022-11-25,^BVSP,BZ=F,12m,0.1941134018372357
2022-11-28,^BVSP,BZ=F,12m,0.18904766133257872
2022-11-29,^BVSP,BZ=F,12m,0.18410094819904058
2022-11-30,^BVSP,BZ=F,12m,0.18493601799296983
2022-12-01,^BVSP,BZ=F,12m,0.18480837897343078
2022-12-02,^BVSP,BZ=F,12m,0.18306817552307073
2022-12-05,^BVSP,BZ=F,12m,0.18731817523234492
2022-12-06,^BVSP,BZ=F,12m,0.18507380668815718
2022-12-07,^BVSP,BZ=F,12m,0.1806514103363513
2022-12-08,^BVSP,BZ=F,12m,0.18244273362615376
2022-12-09,^BVSP,BZ=F,12m,0.183179475422485
2022-12-12,^BVSP,BZ=F,12m,0.17560551585660028
2022-12-13,^BVSP,BZ=F,12m,0.16722358285257036
2022-12-14,^BVSP,BZ=F,12m,0.16561057314002225
2022-12-15,^BVSP,BZ=F,12m,0.16538419849900463
2022-12-16,^BVSP,BZ=F,12m,0.16737188665584007
2022-12-19,^BVSP,BZ=F,12m,0.1674062160504001
2022-12-20,^BVSP,BZ=F,12m,0.1668141388491163
2022-12-21,^BVSP,BZ=F,12m,0.168632758901229
2022-12-22,^BVSP,BZ=F,12m,0.17045302018725328
2022-12-23,^BVSP,BZ=F,12m,0.17930044093509975
2022-12-26,^BVSP,BZ=F,12m,0.1783101582435971
2022-12-27,^BVSP,BZ=F,12m,0.17868513193761923
2022-12-28,^BVSP,BZ=F,12m,0.17696744118378416
2022-12-29,^BVSP,BZ=F,12m,0.17109926047058557
2022-12-30,^BVSP,BZ=F,12m,0.171820979524294
2023-01-02,^BVSP,BZ=F,12m,0.16959625155704425
2023-01-03,^BVSP,BZ=F,12m,0.17307586742232306
