data,moeda_original,fator_brl,metodo_conversao,ticker_fx_1,ticker_fx_2
2020-10-02,INR,0.07705860773571871,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-05,INR,0.07748791623993467,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-06,INR,0.07623484621079912,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-07,INR,0.07578134291779559,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-08,INR,0.07630009347868105,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-09,INR,0.07639958449272566,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-12,INR,0.0757243676381103,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-13,INR,0.07538703967195337,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-14,INR,0.07563841308654062,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-15,INR,0.07627270647999751,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-16,INR,0.07647707924263747,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-19,INR,0.07685877041369871,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-20,INR,0.07618892319642745,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-21,INR,0.07609490913658856,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-22,INR,0.07610886826986762,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-23,INR,0.07584508980845328,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-26,INR,0.07607666428948168,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-27,INR,0.07603535248331017,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-28,INR,0.0773009956056967,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-29,INR,0.07717490480526923,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-30,INR,0.07780081887521773,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-02,INR,0.07701356532623471,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-03,INR,0.07710645317741616,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-04,INR,0.07708597550406537,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-05,INR,0.0761360627849772,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-06,INR,0.07451969048392648,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-09,INR,0.07248870830471388,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-10,INR,0.07281226230861382,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-11,INR,0.07288345607885693,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-12,INR,0.07228107857286092,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-13,INR,0.07288719530056209,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-16,INR,0.07326041521936766,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-17,INR,0.07276321183867651,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-18,INR,0.07152553285219376,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-19,INR,0.07204649749006364,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-20,INR,0.07158608188571192,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-23,INR,0.072517879792652,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-24,INR,0.0732791027022417,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-25,INR,0.07264118338920378,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-26,INR,0.0721415984410938,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-27,INR,0.07205113749049419,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-11-30,INR,0.07225365245878468,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-01,INR,0.07201736649067092,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-02,INR,0.07066594162867368,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-03,INR,0.07081341378157369,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-04,INR,0.06973542412437084,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-07,INR,0.06985199887203919,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-08,INR,0.06887733455165357,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-09,INR,0.0694418788916713,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-10,INR,0.06992223506949902,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-11,INR,0.06814627321990763,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-14,INR,0.06867829468133779,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-15,INR,0.06928919674694001,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-16,INR,0.06885707189896095,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-17,INR,0.06904964437530392,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-18,INR,0.06877347860421423,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-21,INR,0.06929823801398616,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-22,INR,0.06923537055221285,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-23,INR,0.0694311989309977,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-24,INR,0.07062993220591673,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-25,INR,0.07090070730523523,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-28,INR,0.07077447058228037,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-29,INR,0.07132921974419837,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-30,INR,0.07091007410683847,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-12-31,INR,0.07097709003889197,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2021-01-01,INR,0.07103785524351336,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2021-01-04,INR,0.07103239285230334,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2021-01-05,INR,0.07222176957377835,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2021-01-06,INR,0.07201518708552745,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2021-01-07,INR,0.07242229911816844,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2021-01-08,INR,0.07364322188461081,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2021-01-11,INR,0.07376226580333833,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2021-01-12,INR,0.07464887609078819,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2021-01-13,INR,0.07273149864660988,ccyusd_x_usdbrl,INRUSD=X,BRL=X
