ticker_1,ticker_2,correlacao,frequencia,universo,nome_ativo_1,classe_1,subclasse_1,regiao_1,pais_1,tipo_ativo_1,grupo_universo_1,nome_ativo_2,classe_2,subclasse_2,regiao_2,pais_2,tipo_ativo_2,grupo_universo_2
ACWI,^GDAXI,0.6735425209958777,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,DAX,Equity Index,Broad Market,Europa,Alemanha,indice,indices
ACWI,^GSPC,0.9859126100237136,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,S&P 500,Equity Index,Broad Market,America do Norte,Estados Unidos,indice,indices
ACWI,^HSI,0.4657447581298681,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Hang Seng,Equity Index,Broad Market,Asia,Hong Kong,indice,indices
ACWI,^KS11,0.3933335534892132,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Kospi,Equity Index,Broad Market,Asia,Coreia do Sul,indice,indices
ACWI,^MXX,0.5428976688636795,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Mexico IPC,Equity Index,Broad Market,America Latina,Mexico,indice,indices
ACWI,^N225,0.4887031440124559,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Nikkei 225,Equity Index,Broad Market,Asia,Japao,indice,indices
ACWI,^NDX,0.9414800442167974,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Nasdaq 100,Equity Index,Tech/Growth,America do Norte,Estados Unidos,indice,indices
ACWI,^NSEI,0.531543317121185,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Nifty 50,Equity Index,Broad Market,Asia,India,indice,indices
ACWI,^NZ50,0.49963913707187,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,NZX 50,Equity Index,Broad Market,Oceania,Nova Zelandia,indice,indices
ACWI,^STOXX50E,0.685370250022023,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Euro Stoxx 50,Equity Index,Broad Market,Europa,Zona do Euro,indice,indices
ACWI,^TWII,0.4314124488487454,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Taiwan Weighted,Equity Index,Broad Market,Asia,Taiwan,indice,indices
ARGT,BOVA11.SA,0.44881135456436305,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,iShares Ibovespa ETF,ETF,Brasil Broad Market,Brasil,Brasil,etf,etfs
